q_local_idx,query_lab,num_valid_candidates,top1_score,top1_tm,top1_seqid,top12_mean_score,top12_mean_tm,top12_mean_seqid,ranking_mode
566,5NCW-A,12,0.34518000000000004,0.94518,0.271,0.33668500000000007,0.9366849999999999,0.2768333333333333,top12_mean
362,1IVH-A,12,0.36338000000000004,0.96338,0.364,0.33534,0.93534,0.33758333333333335,top12_mean
382,1J93-A,12,0.34878,0.94878,0.371,0.3339016666666667,0.9339016666666667,0.34783333333333327,top12_mean
933,6XS4-A,12,0.35501000000000005,0.95501,0.365,0.3333525,0.9333524999999998,0.31099999999999994,top12_mean
339,2I75-A,12,0.33210000000000006,0.9321,0.37,0.3204475,0.9204475,0.3720833333333333,top12_mean
712,7QS0-A,12,0.34730000000000005,0.9473,0.366,0.3191333333333333,0.9274666666666667,0.3615,top12_mean
369,2J07-A,12,0.34436,0.94436,0.378,0.31548333333333334,0.9154833333333334,0.308,top12_mean
613,1OHT-A,12,0.33481000000000005,0.93481,0.394,0.3119483333333333,0.913115,0.36125,top12_mean
646,1P9B-A,12,0.36188,0.96188,0.391,0.30126833333333336,0.9206850000000001,0.4116666666666666,top12_mean
647,7P91-A,12,0.3221200000000001,0.92212,0.346,0.3009691666666667,0.9013025,0.3506666666666667,top12_mean
452,6L1L-A,12,0.31899,0.91899,0.298,0.2967908333333334,0.8967908333333333,0.24533333333333332,top12_mean
118,7D17-A,12,0.32084,0.92084,0.393,0.2925683333333333,0.8925683333333333,0.36250000000000004,top12_mean
724,2QZJ-A,12,0.33513000000000004,0.93513,0.294,0.2845883333333334,0.8845883333333333,0.27566666666666667,top12_mean
651,1PCH-A,12,0.34482999999999997,0.94683,0.402,0.28403500000000004,0.8993683333333333,0.39499999999999996,top12_mean
673,2PZ0-A,12,0.33614,0.93614,0.381,0.28359416666666676,0.8845108333333332,0.32166666666666666,top12_mean
704,6QPU-A,12,0.32322000000000006,0.92322,0.322,0.28122416666666666,0.9212241666666666,0.387,top12_mean
337,3I6T-A,12,0.34596000000000005,0.94596,0.279,0.281,0.9065833333333333,0.29575,top12_mean
701,6QM7-K,12,0.31026,0.91026,0.335,0.2774741666666667,0.8774741666666667,0.22725000000000004,top12_mean
23,2ASU-B,12,0.29725999999999997,0.89726,0.324,0.2769341666666667,0.8769341666666667,0.29875,top12_mean
94,3CIA-A,12,0.35609,0.95609,0.351,0.27689,0.87689,0.31275000000000003,top12_mean
