ranking_mode,q_local_idx,query_lab,candidate_rank,candidate_lab,tm_score,seqid,remote_homologous_score
top1,641,4P53-A,1,5TPR-A,0.97862,0.398,0.37862000000000007
top1,641,4P53-A,2,3ZOK-A,0.88923,0.281,0.28923
top1,641,4P53-A,3,5EKS-A,0.87332,0.27,0.27332
top1,641,4P53-A,4,3OKF-A,0.86197,0.296,0.26197000000000004
top1,641,4P53-A,5,3QBD-A,0.85125,0.263,0.25125
top1,362,1IVH-A,1,1JQI-A,0.96338,0.364,0.36338000000000004
top1,362,1IVH-A,2,1WS9-A,0.95466,0.371,0.35466
top1,362,1IVH-A,3,2JIF-A,0.9537,0.34,0.3537
top1,362,1IVH-A,4,4L1F-A,0.9526,0.391,0.3526
top1,362,1IVH-A,5,3MDE-A,0.94818,0.339,0.34818000000000005
top1,646,1P9B-A,1,1CG1-A,0.96188,0.391,0.36188
top1,646,1P9B-A,2,1CG4-A,0.96093,0.391,0.36093
top1,646,1P9B-A,3,1CG3-A,0.96054,0.391,0.36053999999999997
top1,646,1P9B-A,4,1KJX-A,0.96028,0.396,0.36028000000000004
top1,646,1P9B-A,5,6ZXQ-A,0.93396,0.398,0.33396000000000003
top12_mean,566,5NCW-A,1,5OM6-A,0.94518,0.271,0.34518000000000004
top12_mean,566,5NCW-A,2,5OM7-A,0.94284,0.277,0.34284000000000003
top12_mean,566,5NCW-A,3,2ACH-A,0.9424,0.281,0.34240000000000004
top12_mean,566,5NCW-A,4,2H4Q-A,0.94142,0.299,0.34142000000000006
top12_mean,566,5NCW-A,5,5OM2-A,0.94138,0.274,0.34138
top12_mean,362,1IVH-A,1,1JQI-A,0.96338,0.364,0.36338000000000004
top12_mean,362,1IVH-A,2,1WS9-A,0.95466,0.371,0.35466
top12_mean,362,1IVH-A,3,2JIF-A,0.9537,0.34,0.3537
top12_mean,362,1IVH-A,4,4L1F-A,0.9526,0.391,0.3526
top12_mean,362,1IVH-A,5,3MDE-A,0.94818,0.339,0.34818000000000005
top12_mean,382,1J93-A,1,6W2O-A,0.94878,0.371,0.34878
top12_mean,382,1J93-A,2,3CYV-A,0.94329,0.397,0.34329
top12_mean,382,1J93-A,3,4ZR8-A,0.93835,0.364,0.33835000000000004
top12_mean,382,1J93-A,4,1JPK-A,0.93501,0.336,0.33501000000000003
top12_mean,382,1J93-A,5,1JPH-A,0.93473,0.339,0.33472999999999997
